,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,Family-based1,,,,Employment-based1,,,,Humanitarian-based1,,,,Others1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,," 74,115 "," 77,717 "," 7,943 "," 144,730 "," 35,152 "," 41,641 "," 2,434 "," 374,759 "," 38,388 "," 39,913 "," 1,287 "," 66,472 "," 6,627 "," 4,814 ", 965 ," 17,773 "," 154,282 "," 164,085 "," 12,629 "," 603,734 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , 100 , 117 , 15 , 157 , -   , -   , -   , -   , -   , D , -   , 13 , D , D , -   , D , 105 , 127 , 15 , 173 ,,,,,,,,,,,,,,,,,,,,,
 Arizona ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   , Phoenix  ," 1,127 "," 1,196 ", 94 ," 2,041 ", -   , 18 , D , 37 , 75 , 70 , D , 250 , D , 45 , D , 49 ," 1,211 "," 1,329 ", 102 ," 2,377 ",,,,,,,,,,,,,,,,,,,,,
, Tucson , 362 , 330 , 52 , 818 , -   , -   , -   , D , D , 12 , D , 17 , D , D , -   , D , 370 , 343 , 53 , 847 ,,,,,,,,,,,,,,,,,,,,,
 Arkansas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  , 130 , 124 , 12 , 241 , -   , -   , -   , D , D , D , -   , D , D , 16 , D , D , 136 , 146 , 13 , 251 ,,,,,,,,,,,,,,,,,,,,,
 California ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Chula Vista , 759 , 625 , 54 ," 1,327 ", -   , D , D , 29 , 23 , 23 , 11 , 44 , 11 , D , -   , 23 , 793 , 654 , 67 ," 1,423 ",,,,,,,,,,,,,,,,,,,,,
, Fresno  , 683 , 614 , 80 ," 1,155 ", -   , D , D , 15 , D , D , D , 20 , D , D , D , 10 , 690 , 629 , 83 ," 1,200 ",,,,,,,,,,,,,,,,,,,,,
, Imperial , 164 , 126 , D , 260 , -   , -   , -   , 15 , D , -   , -   , D , -   , -   , -   , D , 165 , 126 , D , 277 ,,,,,,,,,,,,,,,,,,,,,
, Los Angeles  ," 2,442 "," 2,210 ", 169 ," 4,346 ", -   , 66 , 15 , 457 , 17 , 31 , D , 128 , 31 , 120 , D , 148 ," 2,490 "," 2,427 ", 197 ," 5,079 ",,,,,,,,,,,,,,,,,,,,,
, Los Angeles County  ," 2,376 "," 2,024 ", 253 ," 5,014 ", -   , 49 , D , 365 , 21 , 10 , D , 123 , 26 , 87 , 34 , 92 ," 2,423 "," 2,170 ", 300 ," 5,594 ",,,,,,,,,,,,,,,,,,,,,
, Sacramento  , 784 , 921 , 78 ," 1,370 ", -   , D , D , 17 , D , 16 , D , 36 , D , D , -   , 15 , 797 , 945 , 86 ," 1,438 ",,,,,,,,,,,,,,,,,,,,,
, San Bernardino ," 1,781 "," 1,846 ", 191 ," 3,163 ", -   , 21 , D , 114 , D , 23 , -   , 37 , D , 28 , D , 44 ," 1,797 "," 1,918 ", 204 ," 3,358 ",,,,,,,,,,,,,,,,,,,,,
, San Diego  , 699 , 721 , 48 ," 1,022 ", -   , D , D , 80 , -   , 10 , -   , 23 , 16 , 20 , -   , 23 , 715 , 758 , 49 ," 1,148 ",,,,,,,,,,,,,,,,,,,,,
, San Fernando Valley ," 1,388 "," 1,419 ", 138 ," 2,884 ", -   , 23 , D , 111 , D , D , -   , 50 , 15 , 34 , D , 43 ," 1,405 "," 1,480 ", 149 ," 3,088 ",,,,,,,,,,,,,,,,,,,,,
, San Francisco ," 2,058 "," 1,860 ", 109 ," 3,352 ", -   , 32 , D , 175 , 11 , 48 , D , 92 , 29 , 62 , -   , 114 ," 2,098 "," 2,002 ", 122 ," 3,733 ",,,,,,,,,,,,,,,,,,,,,
, San Jose  ," 1,412 "," 1,199 ", 65 ," 2,245 ", -   , 39 , 10 , 225 , D , 15 , D , 18 , 10 , 10 , D , 17 ," 1,423 "," 1,263 ", 79 ," 2,505 ",,,,,,,,,,,,,,,,,,,,,
, Santa Ana ," 1,496 "," 1,108 ", 148 ," 2,928 ", -   , 59 , 34 , 331 , D , 10 , D , 46 , 23 , 32 , D , 31 ," 1,522 "," 1,209 ", 186 ," 3,336 ",,,,,,,,,,,,,,,,,,,,,
 Colorado ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Denver  , 970 , 894 , 99 ," 2,004 ", -   , 12 , D , 61 , 14 , 18 , D , 76 , D , 54 , D , 55 , 992 , 978 , 112 ," 2,196 ",,,,,,,,,,,,,,,,,,,,,
 Connecticut ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hartford  , 848 , 778 , 89 ," 1,908 ", -   , 10 , D , 248 , 11 , D , D , 62 , D , D , -   , 48 , 863 , 797 , 96 ," 2,266 ",,,,,,,,,,,,,,,,,,,,,
 District of Columbia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Washington  ," 1,681 "," 1,731 ", 218 ," 3,348 ", -   , 80 , 55 , 146 , 31 , 63 , 33 , 82 , 37 , 207 , 33 , 296 ," 1,749 "," 2,081 ", 339 ," 3,872 ",,,,,,,,,,,,,,,,,,,,,
 Florida ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , 593 , 794 , 63 ," 1,222 ", -   , 16 , D , 84 ," 2,486 "," 4,996 ", 87 ," 6,039 ", 14 , 12 , D , 32 ," 3,093 "," 5,818 ", 155 ," 7,377 ",,,,,,,,,,,,,,,,,,,,,
, Jacksonville , 451 , 628 , 47 , 790 , -   , D , D , 12 , 85 , 321 , D , 215 , D , 11 , D , 21 , 541 , 966 , 61 ," 1,038 ",,,,,,,,,,,,,,,,,,,,,
, Kendall , 603 , 619 , 78 ," 1,389 ", -   , D , D , 28 ," 2,500 "," 3,672 ", 89 ," 6,432 ", D , D , D , 51 ," 3,107 "," 4,302 ", 173 ," 7,900 ",,,,,,,,,,,,,,,,,,,,,
, Miami  ," 1,109 ", 588 , 79 ," 2,930 ", -   , D , D , 63 ," 1,621 "," 1,726 ", 85 ," 4,875 ", 10 , 20 , D , 24 ," 2,740 "," 2,343 ", 168 ," 7,892 ",,,,,,,,,,,,,,,,,,,,,
, Oakland Park ," 1,392 "," 1,561 ", 204 ," 2,869 ", -   , 13 , 12 , 78 , 342 , 468 , 40 ," 1,024 ", D , 15 , D , 20 ," 1,741 "," 2,057 ", 265 ," 3,991 ",,,,,,,,,,,,,,,,,,,,,
, Orlando  ," 1,115 "," 1,131 ", 119 ," 2,548 ", -   , 12 , D , 40 , 211 , 326 , 12 , 621 , D , 42 , D , 11 ," 1,332 "," 1,511 ", 137 ," 3,220 ",,,,,,,,,,,,,,,,,,,,,
, Tampa  , 998 , 977 , 156 ," 2,160 ", -   , 13 , -   , 24 , 786 , 927 , 29 ," 2,233 ", D , 24 , D , 25 ," 1,792 "," 1,941 ", 193 ," 4,442 ",,,,,,,,,,,,,,,,,,,,,
, West Palm Beach , 771 , 907 , 135 ," 1,495 ", -   , D , D , 25 , 311 , 641 , 18 , 646 , D , 25 , D , 15 ," 1,088 "," 1,581 ", 160 ," 2,181 ",,,,,,,,,,,,,,,,,,,,,
 Georgia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Atlanta  ," 2,281 "," 1,778 ", 211 ," 4,456 ", -   , 31 , 14 , 819 , 101 , 65 , 11 , 322 , 22 , 60 , 10 , 28 ," 2,404 "," 1,934 ", 246 ," 5,625 ",,,,,,,,,,,,,,,,,,,,,
 Hawaii ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Honolulu  , 362 , 356 , 28 , 720 , -   , -   , -   , 31 , -   , D , -   , D , -   , -   , -   , D , 362 , 360 , 28 , 761 ,,,,,,,,,,,,,,,,,,,,,
 Idaho ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boise  , 120 , 111 , D , 203 , -   , D , D , 14 , D , -   , -   , D , D , D , D , D , 127 , 117 , 11 , 230 ,,,,,,,,,,,,,,,,,,,,,
 Illinois ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Chicago  ," 3,101 "," 2,906 ", 202 ," 6,703 ", -   , 42 , D , 433 , 22 , 23 , D , 201 , 20 , 55 , D , 29 ," 3,143 "," 3,026 ", 216 ," 7,366 ",,,,,,,,,,,,,,,,,,,,,
 Indiana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  , 399 , 446 , 50 , 782 , -   , D , D , 26 , D , 14 , D , 39 , D , 12 , D , 13 , 413 , 476 , 58 , 860 ,,,,,,,,,,,,,,,,,,,,,
 Iowa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Des Moines , 179 , 201 , 39 , 427 , -   , -   , D , 22 , 11 , D , D , 21 , D , 23 , 16 , 13 , 197 , 231 , 62 , 483 ,,,,,,,,,,,,,,,,,,,,,
 Kansas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Wichita , 169 , 211 , 17 , 346 , -   , D , -   , D , 12 , D , -   , 50 , D , D , -   , D , 182 , 226 , 17 , 399 ,,,,,,,,,,,,,,,,,,,,,
 Kentucky ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Louisville  , 229 , 254 , 20 , 445 , -   , D , D , 23 , 155 , 332 , 12 , 365 , D , D , D , D , 386 , 601 , 36 , 837 ,,,,,,,,,,,,,,,,,,,,,
 Louisiana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, New Orleans  , 430 , 379 , 41 , 939 , -   , D , D , 11 , 49 , 20 , D , 157 , 10 , 19 , -   , 12 , 489 , 425 , 44 ," 1,119 ",,,,,,,,,,,,,,,,,,,,,
 Maine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Portland  , 82 , 94 , D , 174 , -   , D , -   , D , D , D , D , D , D , D , D , D , 85 , 103 , D , 189 ,,,,,,,,,,,,,,,,,,,,,
 Maryland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Baltimore  ," 1,757 "," 1,803 ", 257 ," 3,521 ", -   , D , D , 298 , 25 , -   , 14 , 186 , 32 , 20 , D , 168 ," 1,814 "," 1,827 ", 277 ," 4,173 ",,,,,,,,,,,,,,,,,,,,,
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Boston  ," 1,508 "," 1,516 ", 148 ," 2,876 ", -   , 45 , D , 237 , 10 , 45 , D , 65 , 21 , 66 , D , 78 ," 1,539 "," 1,672 ", 164 ," 3,256 ",,,,,,,,,,,,,,,,,,,,,
, Lawrence , 582 , 613 , 70 ," 1,064 ", -   , 23 , D , 39 , 14 , D , D , 20 , D , 21 , -   , 17 , 603 , 666 , 76 ," 1,140 ",,,,,,,,,,,,,,,,,,,,,
 Michigan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Detroit  , 861 , 917 , 101 ," 1,150 ", -   , 32 , D , 40 , 49 , 34 , D , 193 , 11 , 19 , D , 14 , 921 ," 1,002 ", 116 ," 1,397 ",,,,,,,,,,,,,,,,,,,,,
 Minnesota ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , 741 , 610 , 75 ," 1,306 ", -   , 19 , D , 69 , 27 , 52 , 13 , 71 , 12 , 29 , D , 37 , 780 , 710 , 102 ," 1,483 ",,,,,,,,,,,,,,,,,,,,,
 Missouri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , 393 ," 1,039 ", 42 , 779 , -   , 22 , D , 34 , 28 , 61 , D , 57 , D , 16 , -   , D , 429 ," 1,138 ", 46 , 879 ,,,,,,,,,,,,,,,,,,,,,
, St. Louis  , 276 , 296 , 33 , 476 , -   , 23 , D , 56 , D , D , D , 14 , -   , D , D , D , 280 , 334 , 46 , 550 ,,,,,,,,,,,,,,,,,,,,,
 Montana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Helena  , 45 , 111 , D , 92 , -   , -   , -   , -   , -   , D , -   , D , -   , -   , -   , -   , 45 , 113 , D , 94 ,,,,,,,,,,,,,,,,,,,,,
 Nebraska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , 237 , 450 , 29 , 330 , -   , D , -   , 17 , 79 , 114 , D , 217 , D , 13 , D , 11 , 322 , 581 , 35 , 575 ,,,,,,,,,,,,,,,,,,,,,
 Nevada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , 800 , 816 , 109 ," 1,520 ", -   , D , D , 58 , 224 , 183 , D , 585 , -   , 27 , -   , D ," 1,024 "," 1,034 ", 122 ," 2,168 ",,,,,,,,,,,,,,,,,,,,,
, Reno  , 116 , 135 , 17 , 182 , -   , D , -   , D , -   , 35 , -   , D , -   , D , D , D , 116 , 175 , 19 , 196 ,,,,,,,,,,,,,,,,,,,,,
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Manchester  , 148 , 150 , 10 , 265 , -   , D , -   , D , D , D , D , D , -   , D , -   , D , 149 , 158 , 13 , 283 ,,,,,,,,,,,,,,,,,,,,,
