"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of Admission,  Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,,,,,,,,
"April 1 - June 30, 2014",,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"74,816","63,037","8,677","161,097","29,200","25,449","1,749","122,754","43,090","36,621","1,316","81,616","7,679","6,815",873,"17,209","154,785","131,922","12,615","382,676"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,
, Anchorage  ,118,186,32,186, -   , -   , -   , D , D ,33, D ,16, D , D , -   , D ,122,228,34,214
 Arizona ,,,,,,,,,,,,,,,,,,,,,
, Phoenix  ,"1,245",945,111,"2,372", -   ,14, D ,24,86,55,13,229, D ,34, D ,76,"1,336","1,048",129,"2,701"
, Tucson ,469,291,46,938, -   , D , D , D , D , D , D ,13, D , D , -   , D ,474,305,49,967
 Arkansas ,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  ,160,109,28,254, -   , -   , -   , D , -   , D , -   , D , -   , D , D ,11,160,114,31,273
 California ,,,,,,,,,,,,,,,,,,,,,
, Chula Vista ,720,562,53,"1,243", -   , D , D , D , D ,17, -   ,45, D , D , D ,18,732,590,62,"1,311"
, Fresno  ,733,548,67,"1,227", -   , D , -   , D , D , D , -   ,11, D ,47, D ,65,741,612,69,"1,309"
, Imperial ,124,153,12,281, -   , -   , -   , D , D , -   , -   , D , -   , D , -   , -   ,128,155,12,291
, Los Angeles  ,"2,338","2,133",230,"4,211", -   ,65,21,119,21,38,19,110,39,103,15,222,"2,398","2,339",285,"4,662"
, Los Angeles County  ,"2,320","1,415",301,"5,039", -   ,53,18,115,26,30, D ,122,26,79, D ,271,"2,372","1,577",330,"5,547"
, Sacramento  ,885,703,60,"1,417", -   , D , D ,13, D ,15, D ,31,12,17, D ,34,903,745,73,"1,495"
, San Bernardino ,"1,734","1,293",184,"3,633", -   ,45, D ,34,17,13, D ,43, D ,49, D ,205,"1,754","1,400",204,"3,915"
, San Diego  ,614,495,56,"1,269", -   ,17, D ,27, D , D , -   ,33, D ,17, D ,15,622,536,60,"1,344"
, San Fernando Valley ,"1,419","1,227",163,"2,870", -   ,70, D ,92,22,29, D ,43, D ,95, D ,142,"1,450","1,421",174,"3,147"
, San Francisco ,"2,134","1,965",126,"3,581", -   ,54, D ,46,13,38, -   ,112,37,25, D ,210,"2,184","2,082",140,"3,949"
, San Jose  ,"1,313","1,221",93,"2,252", -   ,49,14,73, D ,13, D ,24,18,12, -   ,52,"1,333","1,295",108,"2,401"
, Santa Ana ,"1,421","1,188",103,"3,077", -   ,91, D ,108, D ,19, D ,22,13,50, D ,29,"1,438","1,348",121,"3,236"
 Colorado ,,,,,,,,,,,,,,,,,,,,,
, Denver  ,"1,032",474,107,"2,921", -   , D , D ,135,15, D , D ,61,14,72, D ,16,"1,061",563,119,"3,133"
 Connecticut ,,,,,,,,,,,,,,,,,,,,,
, Hartford  ,810,592,102,"2,084", -   ,11, D ,93,11,11, D ,40, D ,15, D ,108,830,629,114,"2,325"
 District of Columbia ,,,,,,,,,,,,,,,,,,,,,
, Washington  ,"1,552","1,089",231,"3,329", -   ,52,35,316,22,28,18,120,41,86,34,116,"1,615","1,255",318,"3,881"
 Florida ,,,,,,,,,,,,,,,,,,,,,
, Hialeah ,668,545,83,"1,300", -   ,11, D ,15,"2,815","3,103",103,"5,802", D ,27, D ,23,"3,488","3,686",192,"7,140"
, Jacksonville ,479,491,53,817, -   , D , D , D ,85,262, D ,167, D , D , -   ,29,567,764,59,"1,018"
, Kendall ,643,494,85,"1,499", -   , D , D , D ,"2,839","2,546",142,"6,501", D ,26, D ,13,"3,486","3,071",233,"8,018"
, Miami  ,"1,142","1,027",140,"3,933", -   , D , D ,26,"1,841","2,181",87,"4,750",26,54, D ,59,"3,009","3,272",235,"8,768"
, Oakland Park ,"1,526","1,333",183,"3,242", -   ,12, D ,31,410,646,75,"1,039",15,92,11,19,"1,951","2,083",273,"4,331"
, Orlando  ,"1,094",971,185,"3,079", -   ,11, D ,19,251,229,34,621,11,16, D ,30,"1,356","1,227",224,"3,749"
, Tampa  ,"1,188",721,182,"3,191", -   , D , D ,19,"1,016","1,015",34,"2,703",12,73, D , D ,"2,216","1,818",223,"5,923"
, West Palm Beach ,863,858,122,"1,489", -   , D , -   , -   ,422,575,17,831, D ,47,11, D ,"1,291","1,489",150,"2,323"
 Georgia ,,,,,,,,,,,,,,,,,,,,,
, Atlanta  ,"2,231","3,055",405,"5,205", -   ,75,11,17,95,123, D ,336,25,66,18,23,"2,351","3,319",441,"5,581"
 Hawaii ,,,,,,,,,,,,,,,,,,,,,
, Honolulu  ,424,343,29,926, -   , D , -   , D , D , D , -   , D , D , -   , D , D ,430,352,33,949
 Idaho ,,,,,,,,,,,,,,,,,,,,,
, Boise  ,143,112,12,252, -   , D , -   , -   , D , D , D , D , D ,11, D , D ,151,128,15,268
 Illinois ,,,,,,,,,,,,,,,,,,,,,
, Chicago  ,"2,840","2,229",352,"9,769", -   ,71, D ,196,50,19, D ,174,33,44, D ,70,"2,923","2,363",363,"10,209"
 Indiana ,,,,,,,,,,,,,,,,,,,,,
, Indianapolis  ,436,374,53,698, -   , D , D ,12,23,16, D ,24, D ,13, D ,17,461,405,61,751
 Iowa ,,,,,,,,,,,,,,,,,,,,,
, Des Moines ,206,121, D ,553, -   , D , D , D ,11, D , -   ,25, D ,15, D ,28,225,143,13,607
 Kansas ,,,,,,,,,,,,,,,,,,,,,
, Wichita ,197,155, D ,375, -   , D , -   , D ,16, D , D ,51, D , D , -   , D ,214,171, D ,430
 Kentucky ,,,,,,,,,,,,,,,,,,,,,
, Louisville  ,233,239,35,410, -   , D , -   , D ,210,232, D ,216, D , D , -   ,16,449,487,41,646
 Louisiana ,,,,,,,,,,,,,,,,,,,,,
, New Orleans  ,479,547,54,931, -   , D , D , D ,55,77, D ,194, D ,18, D , D ,544,651,62,"1,132"
 Maine ,,,,,,,,,,,,,,,,,,,,,
, Portland  ,77,106, D ,129, -   , D , -   , -   , -   , D , -   , D , D , D , -   , D ,79,121, D ,139
 Maryland ,,,,,,,,,,,,,,,,,,,,,
, Baltimore  ,"1,620","1,296",148,"4,521", -   ,59, D ,94,32,12, D ,114,41,39, D ,173,"1,693","1,406",164,"4,902"
 Massachusetts ,,,,,,,,,,,,,,,,,,,,,
, Boston  ,"1,475","1,367",126,"3,048", -   ,30, D ,42,15,19, D ,74,30,48, D ,172,"1,520","1,464",136,"3,336"
, Lawrence ,605,394,56,"1,253", -   , D , D , D , D , D , -   ,34, D ,25, D ,15,619,434,61,"1,309"
 Michigan ,,,,,,,,,,,,,,,,,,,,,
, Detroit  ,924,741,79,"1,460", -   ,25, D ,38,71,12, D ,136,15,24, D ,56,"1,010",802,88,"1,690"
 Minnesota ,,,,,,,,,,,,,,,,,,,,,
, St. Paul  ,834,741,90,"1,707",,15, D ,20,38,30,14,95, D ,39, D ,14,882,825,108,"1,836"
 Missouri ,,,,,,,,,,,,,,,,,,,,,
, Kansas City  ,447,385,71,705, -   ,16, -   ,11,31,27, D ,77, D , D , D , D ,486,436,78,798
, St. Louis  ,253,245,29,612, -   ,13,13, D , D , D , D ,18, D , D , -   , D ,263,267,45,647
 Montana ,,,,,,,,,,,,,,,,,,,,,
, Helena  ,56,172, D ,103, -   , -   , -   , -   , D , D , D , D , -   , D , -   , -   ,57,179, D ,105
 Nebraska ,,,,,,,,,,,,,,,,,,,,,
, Omaha  ,213,116,12,410,, -   , D , D ,106,86, D ,304,11,26, -   , D ,330,228,16,725
 Nevada ,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  ,921,694,70,"1,540", -   , D , -   ,48,263,339, D ,547, D ,71, D ,66,"1,186","1,106",81,"2,201"
, Reno  ,128,122,17,236, -   , -   , -   , -   , -   ,16, -   , D , -   , D , -   , D ,128,142,17,254
 New Hampshire ,,,,,,,,,,,,,,,,,,,,,
, Manchester  ,128,142, D ,207, -   , D , D , D , D , D , -   ,12, -   , D , -   , D ,138,145,11,226
,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel ,628,560,71,"1,151", -   ,20,26,28,24, D , D ,41, D ,17, -   ,64,656,607,99,"1,284"
, Newark  ,"2,846","2,519",436,"6,110", -   ,157,30,93,231,178,22,609,19,89,13,74,"3,096","2,943",501,"6,886"
 New Mexico ,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  ,229,154,32,458, -   , -   , -   , D ,18,18, -   ,65, D ,13, D , D ,248,185,33,531
 New York ,,,,,,,,,,,,,,,,,,,,,
, Albany  ,172,129, D ,361, -   , -   , -   , D , D , D , -   ,16, D , D , -   ,15,179,138, D ,398
, Buffalo  ,310,253,29,568, -   , D , -   , D ,85,75, D ,189, D ,11, -   , D ,404,345,31,766
, Long Island ,"1,883","1,177",170,"4,104", -   ,27,11,128,18,14, D ,67,39,146,37,293,"1,940","1,364",220,"4,592"
, New York  ,"5,260","4,434",940,"10,743", -   ,159,16,282,39,184,31,375,95,824,86,999,"5,394","5,601","1,073","12,399"
, Queens ,"1,756","2,069",157,"3,795", -   ,54, D ,246,13,43, D ,182,34,39,14,262,"1,803","2,205",189,"4,485"
 North Carolina ,,,,,,,,,,,,,,,,,,,,,
, Charlotte  ,617,526,78,"1,151", -   ,11, -   ,18,46,32, D ,129, D ,13, D ,28,664,582,90,"1,326"
, Raleigh ,650,584,91,"1,211", -   ,15, D ,11,17,11, D ,55, D , D , -   ,28,672,618,94,"1,305"
 Ohio ,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  ,220,249,19,392, -   , D , -   , D ,14, D , D ,29, -   , D , D , D ,234,256,24,432
, Cleveland  ,346,311,41,520, -   , D , D ,11, D ,12, D , D , D , D , -   , D ,357,336,47,545
, Columbus ,350,268,52,562, -   , D , D , D , D ,19, D ,22, D , D , D ,12,361,300,62,605
 Oklahoma ,,,,,,,,,,,,,,,,,,,,,
, Oklahoma City  ,398,175,33,"1,417", -   , D , D ,29,11, D , D ,40, D ,18, D ,41,416,210,43,"1,527"
 Oregon ,,,,,,,,,,,,,,,,,,,,,
, Portland  ,619,223,36,"1,505", -   , D , -   ,18,56,15, D ,107, D ,24, D ,22,679,271,39,"1,652"
 Pennsylvania ,,,,,,,,,,,,,,,,,,,,,
, Philadelphia ,"1,449","1,227",188,"2,756", -   , D , D ,32,71,40, D ,258, D ,50, D ,38,"1,529","1,322",202,"3,084"
, Pittsburgh  ,310,131,25,537, -   , D , D ,15, D , D , D , D , D , D , D ,25,320,147,29,586
 Rhode Island ,,,,,,,,,,,,,,,,,,,,,
, Providence  ,259,196,39,414, -   , D , -   , -   , D , D , D , D , D , D , D ,11,263,218,43,433
 South Carolina ,,,,,,,,,,,,,,,,,,,,,
, Charleston  ,380,341,50,740, -   , D , D , D , D ,11, D ,22, D , D , -   ,21,390,367,56,789
 Tennessee ,,,,,,,,,,,,,,,,,,,,,
, Memphis  ,615,523,47,"1,214", -   ,13, D ,18,43,24, D ,128,13,15, D ,16,671,575,52,"1,376"
 Texas ,,,,,,,,,,,,,,,,,,,,,
, Dallas  ,"2,478","2,309",290,"6,747", -   ,39, D ,85,85,36, D ,433,25,50, D ,389,"2,588","2,434",310,"7,654"
, El Paso  ,831,644,59,"1,335", -   , -   , -   , D ,34,17, -   ,75, D ,11, D , D ,867,672,62,"1,420"
, Harlingen  ,838,611,83,"1,575", -   , -   , -   , D ,20, D , -   ,41,19,27,12,31,877,639,95,"1,654"
, Houston  ,"2,860","2,263",416,"5,379", -   ,71,14,39,487,330, D ,"1,177",41,121,24,663,"3,388","2,785",460,"7,258"
, San Antonio  ,"1,591","1,637",143,"3,103", -   ,36, D ,33,139,67, D ,349,30,117, D ,67,"1,760","1,857",160,"3,552"
 Utah ,,,,,,,,,,,,,,,,,,,,,
, Salt Lake City  ,615,455,58,"1,445", -   ,24, D , D , D , D , D ,36, D ,33, D , D ,629,519,68,"1,486"
 Vermont ,,,,,,,,,,,,,,,,,,,,,
, St. Albans  ,40,98,12,213, -   , D , -   ,14, D , D , -   , D , -   , -   , -   , -   ,42,103,12,233
 Virginia ,,,,,,,,,,,,,,,,,,,,,
, Norfolk  ,460,389,40,851, -   ,16, D ,15,28,12, D ,53, D ,24, D ,27,495,441,47,946
 Washington ,,,,,,,,,,,,,,,,,,,,,
, Seattle  ,"1,157",692,85,"2,214", -   ,28, D ,49, D ,11, D ,51,16,62,11,71,"1,180",793,107,"2,385"
, Spokane  ,68,74, D ,161, -   , D , -   , -   , D ,17, D , D , D , D , -   , D ,71,98,12,164
, Yakima ,152,264,16,249, -   , D , -   , -   , D ,16, -   ,11, D , D , -   , D ,156,290,16,269
 Wisconsin ,,,,,,,,,,,,,,,,,,,,,
, Milwaukee  ,404,404,49,970, -   , D , D ,20, D ,20, D ,28, D ,15, -   , D ,416,448,51,"1,022"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 Guam ,,,,,,,,,,,,,,,,,,,,,
, Hagatna ,149,151,21,250, -   , D , -   , D , -   , -   , -   , -   , D , -   , -   , -   ,150,158,21,252
 U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,
, Charlotte Amalie ,26,31, D ,50, -   , -   , -   , -   , -   , -   , -   , D , -   , D , -   , -   ,26,32, D ,58
, Christiansted  ,16, D , -   ,37, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,16, D , -   ,37
 Puerto Rico ,,,,,,,,,,,,,,,,,,,,,
, San Juan  ,173,187,29,481, -   , -   , -   , D ,28,22, D ,94, -   , D , D , D ,201,213,31,585
,,,,,,,,,,,,,,,,,,,,,
 Service Center ,,,,,,,,,,,,,,,,,,,,,
, California , D ,48, D ,378,"1,117",546,56,830, -   , D , -   ,40, -   , -   , -   , -   ,"1,120",596,61,"1,248"
, Nebraska , -   , -   , -   , -   ,"12,290","8,962",523,"51,492","22,922","17,658",330,"37,686", D , D , D , -   ,"35,214","26,624",856,"89,178"
, Texas , -   , -   , -   , -   ,"15,780","14,217",819,"67,320","7,625","5,699",169,"13,188", D , D , D ,37,"23,408","19,917",996,"80,545"
, Vermont ,44, -   , D ,166,13, -   , -   , D , -   , D , D ,12,"6,692","3,480",428,"11,429","6,749","3,481",436,"11,617"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,
"""-"" Represents zero.",,,,,,,,,,,,,,,,,,,,,
"1  Family-based applications for legal permanent resident (LPR) status are based on a family relationship with an LPR or a U.S. citizen. Employment-based petitions are to 
",,,,,,,,,,,,,,,,,,,,,
"   request entrance to the U.S. for purposes of employment, either temporary or permanent resident, or for an entrepreneur who wishes to immigrate to the U.S. to create a commercial enterprise. ",,,,,,,,,,,,,,,,,,,,,
"   others includes all other I-485 applications, to include those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born",,,,,,,,,,,,,,,,,,,,,
   in Canada based on Section 289 of the Immigration and Nationality Act (INA).,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or awating a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,
           2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), June 2014",,,,,,,,,,,,,,,,,,,,,
